STORM ID,Year,Date,LATITUDE_TRANSFORMED,LONGITUDE_TRANSFORMED,STORM LEVEL
AL071878,1878,10/8/78,47.5,35.5,3
AL071894,1894,10/29/94,47,42.6,3
AL041853,1853,9/10/53,46.3,32.3,3
AL101978,1978,9/5/78,45,55,3
AL121973,1973,9/22/73,44.7,41.5,3
AL061859,1859,10/6/59,44.5,61,4
AL071887,1887,8/27/87,44.3,56,3
AL161969,1969,9/10/69,44,67.5,3
AL041870,1870,9/12/70,43.5,55.4,3
AL061982,1982,9/18/82,43.5,56.1,3
AL081954,1954,9/11/54,41.7,70.3,3
AL061869,1869,9/8/69,41.4,71.7,3
AL061938,1938,9/21/38,41.3,72.9,3
AL061954,1954,8/31/54,41.3,72,3
AL081975,1975,9/3/75,41.1,43,3
AL091974,1974,8/31/74,41,54.5,3
AL021873,1873,8/24/73,40.9,64.6,3
AL051961,1961,9/21/61,40.9,70.7,3
AL081963,1963,10/29/63,40.8,67.2,3
AL151975,1975,10/3/75,40.8,62.6,4
AL012004,2004,8/5/04,40.8,59.6,3
AL041952,1952,9/7/52,40.4,60.1,3
AL101936,1936,9/4/36,40.2,46,3
AL071961,1961,10/8/61,40.1,65.2,3
AL031894,1894,9/8/94,40,49.6,3
AL041906,1906,9/11/06,40,52.8,3
AL081958,1958,9/29/58,40,65,3
AL051939,1939,10/17/39,39.9,58,3
AL061887,1887,8/21/87,39.8,68.4,3
AL021935,1935,8/24/35,39.7,57.6,3
AL081969,1969,8/23/69,39.2,54.8,3
AL111994,1994,11/8/94,39.2,45.5,3
AL071950,1950,10/4/50,39.1,63.7,3
AL031853,1853,9/9/53,39,62.3,3
AL031991,1991,8/19/91,38.9,73,3
AL082017,2017,8/16/17,38.2,64.1,3
AL071886,1886,8/22/86,38.1,66,3
AL011927,1927,8/24/27,38,71.5,3
AL032000,2000,8/13/00,38,50.3,3
AL031917,1917,9/5/17,37.9,56.1,3
AL051992,1992,9/22/92,37.7,51.5,3
AL041949,1949,9/9/49,37.6,59.8,3
AL051993,1993,9/1/93,37.5,72.7,3
AL021883,1883,8/29/83,37.4,67.5,3
AL162011,2011,10/2/11,37.4,61.6,3
AL071944,1944,9/14/44,37.1,74.7,3
AL041962,1962,10/7/62,37.1,66.3,3
AL021896,1896,9/9/96,37,69.1,3
AL061966,1966,9/2/66,37,65.2,3
AL102003,2003,9/6/03,36.9,60.4,3
AL021922,1922,9/22/22,36.7,60,3
AL061952,1952,9/28/52,36.7,63,3
AL051899,1899,9/14/99,36.5,60.5,3
AL061948,1948,9/14/48,36.5,64,3
AL061950,1950,9/16/50,36.5,54.5,3
AL051996,1996,9/1/96,36.5,70.2,3
AL172017,2017,10/15/17,36.4,22.6,3
AL041958,1958,8/29/58,36.3,73.9,3
